code,name,industry,theme,method,method_name,close,valuation_score,raw_valuation_score,quality_score,trend_score,liquidity_score,low_value_score,high_quality_score,core_score,valuation_ref,ret20_at_buy,ret60_at_buy,mktcap,value_line,price_to_value,eps_excl,eps_excl_raw,eps_adjustment_factor,eps_excl_source,current_valuation,low_avg,pepb_ratio,valuation_percentile,selection_bucket,valuation_state,total_score,selection_mode,earnings_yoy,buy_close_raw,end_close_raw,raw_return,qfq_return,buy_close_qfq,end_close_qfq,buy_trade_date,end_trade_date
sh.600323,瀚蓝环境,N77生态保护和环境治理业,N77生态保护和环境治理业,VALUE,基本价值线,23.28,94.2,94.2,78.3,54.0,50.5,84.3,66.4,73.7,"Q1价值线=39.41, 现价/价值=0.59, akshare东方财富扣非净利润同比=12.8%, 市值=190.1亿",-0.0352258599254039,0.0448833034111311,190.14312881609249,39.4053539797624,0.5907826639993141,1.99,1.99,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,84.3,价值线左侧确认,0.12802326524012,23.28,30.53,0.311426116838488,0.36791555770966644,22.31862912,30.53,2025-05-06,2026-05-18
sh.601019,山东出版,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,9.85,98.0,98.0,71.6,28.1,48.5,83.8,54.2,66.2,"Q1价值线=17.47, 现价/价值=0.56, akshare东方财富扣非净利润同比=49.3%, 市值=205.4亿",-0.0110441767068274,-0.0913284132841328,205.4421304539338,17.47164094483891,0.56377074317737,0.68,0.68,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,83.8,价值线左侧确认,0.49257343387631,9.85,7.25,-0.2639593908629442,-0.23654288230956289,9.49627665,7.25,2025-05-06,2026-05-18
sh.601899,紫金矿业,B09有色金属矿采选业,资源金属,VALUE,基本价值线,17.76,75.0,74.9,92.5,82.6,100.0,83.6,70.0,52.9,"Q1价值线=24.48, 现价/价值=0.73, akshare东方财富扣非净利润同比=58.8%, 市值=4690.5亿",0.0148571428571429,0.0783242258652097,4690.494389532,24.48172023462888,0.725439218722827,1.2,1.2,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,83.6,价值线左侧确认,0.58761386050299,17.76,31.3,0.7623873873873872,0.8018939113947166,17.370612,31.3,2025-05-06,2026-05-18
sh.601811,新华文轩,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,15.26,97.1,97.1,72.7,35.3,40.9,83.0,56.1,67.0,"Q1价值线=26.76, 现价/价值=0.57, akshare东方财富扣非净利润同比=10.1%, 市值=188.8亿",-0.0129366106080207,0.0538674033149171,188.8399117810089,26.76221569641638,0.5702068981546773,1.34,1.34,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,83.0,价值线左侧确认,0.10124582886167,15.26,13.17,-0.13695937090432497,-0.10169179060341516,14.6608924,13.17,2025-05-06,2026-05-18
sh.603129,春风动力,C37铁路、船舶、航空航天和其他运输设备制造业,C37铁路、船舶、航空航天和其他运输设备制造业,VALUE,基本价值线,167.5,75.0,51.3,100.0,45.0,66.0,82.8,74.4,76.5,"Q1价值线=188.08, 现价/价值=0.89, akshare东方财富扣非净利润同比=50.8%, 市值=253.1亿",-0.1244119184526921,-0.1483628228594672,253.10573877686065,188.07521148730575,0.8906011519296124,9.54,9.54,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,82.8,价值线左侧确认,0.50840973468244,167.5,247.46,0.47737313432835826,0.5096633231471528,163.9173425,247.46,2025-05-06,2026-05-18
sh.600866,星湖科技,C14食品制造业,消费,PE,PE低估,7.7,100.0,100.0,47.5,95.5,62.0,82.6,69.1,75.9,"PE=10.97, 低估均值=19.14, 比值=0.57, 分位=4%",0.1809815950920246,0.2106918238993711,,,,,,,,10.973479,19.1440635,0.5732053176693652,0.0425400739827373,低估价值,价值线内/历史低位,82.6,低估价值,,7.7,5.58,-0.2753246753246753,-0.23570193504107473,7.3008166,5.58,2025-05-06,2026-05-18
sh.603236,移远通信,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,77.61,85.0,61.6,92.5,45.5,78.0,82.6,73.5,78.1,"价值线=94.77, 现价/价值=0.82, 扣非EPS=2.01, akshare东方财富扣非净利润同比=290.8%, 市值=205.5亿",-0.0702048640230023,-0.0970331588132635,205.485220152812,94.77324506024333,0.8189020007773989,2.01,2.01,1.0,年报扣非EPS,,,,,低估价值,深度低估,82.6,低估价值,,77.61,74.7,-0.037495168148434455,-0.026963999515187353,76.77002697,74.7,2025-05-06,2026-05-18
sh.600988,赤峰黄金,B09有色金属矿采选业,资源金属,VALUE,基本价值线,27.24,75.0,50.6,88.2,100.0,97.8,81.9,72.3,54.1,"Q1价值线=30.40, 现价/价值=0.90, akshare东方财富扣非净利润同比=138.6%, 市值=449.7亿",0.2438356164383561,0.4048478597215057,449.6593124353398,30.401816046663605,0.895999106046476,1.03,1.03,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,81.9,价值线左侧确认,1.38584956588802,27.24,36.66,0.3458149779735682,0.35434600344929534,27.06841524,36.66,2025-05-06,2026-05-18
sh.600741,华域汽车,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,17.76,100.0,100.0,67.5,56.7,57.2,81.7,63.8,72.7,"价值线=39.73, 现价/价值=0.45, 扣非EPS=1.83, akshare东方财富扣非净利润同比=7.2%, 市值=560.1亿",-0.0116861435726208,0.0809494826536822,560.0672135905049,39.729810905549975,0.4470194948126233,1.83,1.83,1.0,年报扣非EPS,,,,,低估价值,深度低估,81.7,低估价值,,17.76,17.56,-0.011261261261261368,0.032658747947702294,17.00464944,17.56,2025-05-06,2026-05-18
sh.601336,新华保险,J68保险业,金融,PE,PE低估,48.6,99.4,99.4,55.5,52.3,78.9,81.7,60.1,70.9,"PE=5.58, 低估均值=9.20, 比值=0.61, 分位=0%",-0.0673575129533678,0.0360264335962481,,,,,,,,5.580256,9.1956168,0.606838684274012,0.0008163265306122,低估价值,价值线内/历史低位,81.7,低估价值,,48.6,60.12,0.23703703703703694,0.2880677033066392,46.6745652,60.12,2025-05-06,2026-05-18
sh.601098,中南传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,14.14,85.1,85.1,82.9,55.5,53.5,81.2,69.0,73.6,"Q1价值线=21.61, 现价/价值=0.65, akshare东方财富扣非净利润同比=48.1%, 市值=255.3亿",-0.0146341463414633,0.0591760299625467,255.26236024656745,21.614141904190618,0.6542013123943863,0.86,0.86,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,81.2,价值线左侧确认,0.4806082160017,14.14,11.2,-0.207920792079208,-0.17435329983739722,13.56512416,11.2,2025-05-06,2026-05-18
sh.600031,三一重工,C35专用设备制造业,C35专用设备制造业,VALUE,基本价值线,19.68,75.0,38.5,78.2,91.0,82.3,78.3,83.1,80.7,"价值线=20.08, 现价/价值=0.98, 扣非EPS=0.63, akshare东方财富扣非净利润同比=78.5%, 市值=1667.0亿",0.0165289256198346,0.2447817836812142,1667.0303878037157,20.0772791120414,0.9802125024100936,0.6297,0.6297,1.0,年报扣非EPS,,,,,低估且高质量,低估且高质量,80.7,低估且高质量,,19.68,19.39,-0.014735772357723498,0.01887697918560982,19.0307568,19.39,2025-05-06,2026-05-18
sh.600961,株冶集团,C32有色金属冶炼和压延加工业,资源金属,VALUE,基本价值线,10.19,85.7,85.7,77.5,91.2,61.1,80.4,68.1,69.8,"Q1价值线=15.68, 现价/价值=0.65, akshare东方财富扣非净利润同比=112.9%, 市值=123.9亿",0.0692549842602308,0.2087781731909845,123.91045355524334,15.675483020479462,0.6500597134191736,0.6,0.6,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,80.4,价值线左侧确认,1.12935761807741,10.19,28.96,1.842001962708538,1.842001962708538,10.19,28.96,2025-05-06,2026-05-18
sh.600668,尖峰集团,C30非金属矿物制品业,资源金属,PB,PB低估,12.48,90.5,90.5,71.3,96.2,46.7,81.9,77.3,79.6,"PB=0.75, 低估均值=1.19, 比值=0.63, 分位=16%",0.154486586493987,0.2430278884462153,,,,,,,,0.751411,1.187913,0.6325471646492631,0.1555102040816326,低估且高质量,低估且高质量,79.6,低估且高质量,,12.48,8.6,-0.3108974358974359,-0.1678661005988733,10.3348752,8.6,2025-05-06,2026-05-18
sh.600764,中国海防,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,28.56,100.0,100.0,51.4,84.1,56.4,79.5,66.0,72.8,"价值线=59.78, 现价/价值=0.48, 扣非EPS=0.16, akshare东方财富扣非净利润同比=2963.2%, 市值=203.0亿",0.0229226361031518,0.1022771130837514,202.9962956572081,59.78361973540538,0.4777228298721772,0.1576,0.1576,1.0,年报扣非EPS,,,,,低估价值,深度低估,79.5,低估价值,,28.56,22.32,-0.2184873949579832,-0.21531333740779768,28.4444748,22.32,2025-05-06,2026-05-18
sh.600809,山西汾酒,C15酒、饮料和精制茶制造业,消费,PE,PE低估,204.34,88.4,88.4,80.9,61.7,82.7,83.3,74.8,79.1,"PE=19.74, 低估均值=26.92, 比值=0.73, 分位=5%",-0.0397556390977443,0.2037702503681886,,,,,,,,19.740787,26.9152386,0.733442764278523,0.0457142857142857,低估且高质量,低估且高质量,79.1,低估且高质量,,204.34,129.84,-0.36458843104629535,-0.35129715852736243,200.15327774,129.84,2025-05-06,2026-05-18
sh.603259,药明康德,M73研究和试验发展,医药医疗,VALUE,基本价值线,60.34,75.0,37.7,79.3,53.9,98.4,78.8,73.0,74.8,"Q1价值线=61.20, 现价/价值=0.99, akshare东方财富扣非净利润同比=14.5%, 市值=1741.9亿",-0.0864496593489779,0.0776924450794784,1741.8558441080393,61.19856233480842,0.9859708741177392,3.46,3.46,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,78.8,价值线左侧确认,0.14495005405033,60.34,102.05,0.69124958568114,0.7335765917451906,58.86673856,102.05,2025-05-06,2026-05-18
sh.600179,安通控股,G58多式联运和运输代理业,G58多式联运和运输代理业,VALUE,基本价值线,2.97,100.0,100.0,57.7,64.4,44.8,78.2,60.2,69.2,"价值线=13.82, 现价/价值=0.21, 扣非EPS=0.11, akshare东方财富扣非净利润同比=925.8%, 市值=125.7亿",0.0241379310344829,0.1082089552238805,125.6552799210329,13.824822046034887,0.2148309750469323,0.1094,0.1094,1.0,年报扣非EPS,,,,,低估价值,深度低估,78.2,低估价值,,2.97,4.36,0.468013468013468,0.468013468013468,2.97,4.36,2025-05-06,2026-05-18
sh.601127,赛力斯,C36汽车制造业,C36汽车制造业,VALUE,基本价值线,130.03,75.0,47.0,77.5,60.5,98.0,78.2,74.5,75.6,"Q1价值线=141.22, 现价/价值=0.92, akshare东方财富扣非净利润同比=244.3%, 市值=1963.9亿",0.0376665868645758,0.0198431372549019,1963.885852430475,141.22025721339818,0.9207602546956944,3.69,3.69,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,78.2,价值线左侧确认,2.44340893864613,130.03,81.8,-0.37091440436822276,,,,2025-05-06,2026-05-18
sh.601877,正泰电器,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,22.3,95.2,95.2,66.4,52.2,55.1,78.2,61.2,69.7,"价值线=38.20, 现价/价值=0.58, 扣非EPS=1.72, akshare东方财富扣非净利润同比=5.3%, 市值=476.9亿",-0.064204783885858,0.0314523589269195,476.91969333808726,38.20173065697517,0.5837431869314614,1.72,1.72,1.0,年报扣非EPS,,,,,低估价值,深度低估,78.2,低估价值,,,,,,,,,
sh.600060,海信视像,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,23.58,85.0,73.3,79.2,75.3,64.5,80.2,75.9,78.1,"价值线=32.01, 现价/价值=0.74, 扣非EPS=1.38, akshare东方财富扣非净利润同比=19.5%, 市值=310.1亿",-0.07890625,0.0051150895140663,310.13636165868456,32.01027679463418,0.7366384286921464,1.382,1.382,1.0,年报扣非EPS,,,,,低估且高质量,深度低估且高质量,78.1,低估且高质量,,,,,,,,,
sh.600489,中金黄金,B09有色金属矿采选业,资源金属,VALUE,基本价值线,14.07,75.0,69.1,80.8,55.4,86.2,78.1,44.7,35.3,"Q1价值线=18.36, 现价/价值=0.77, akshare东方财富扣非净利润同比=71.1%, 市值=680.7亿",0.0345588235294118,0.0195652173913043,680.7395283486576,18.36340951937675,0.7661975835780159,0.73,0.73,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,78.1,价值线左侧确认,0.7113415646775,,,,,,,,
sh.600690,海尔智家,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,25.12,75.6,75.6,79.9,27.6,83.1,77.9,62.3,69.9,"Q1价值线=34.86, 现价/价值=0.72, akshare东方财富扣非净利润同比=15.6%, 市值=2317.4亿",-0.0703182827535158,-0.0559939872228485,2317.382840300029,34.86154417612562,0.7205647539044767,1.93,1.93,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,77.9,价值线左侧确认,0.15608402992397,,,,-0.12115616291403486,23.99743744,21.09,2025-05-06,2026-05-18
sh.600968,海油发展,B11开采专业及辅助性活动,B11开采专业及辅助性活动,VALUE,基本价值线,3.94,100.0,100.0,57.8,57.3,48.7,77.9,58.4,68.1,"价值线=7.44, 现价/价值=0.53, 扣非EPS=0.37, akshare东方财富扣非净利润同比=25.8%, 市值=400.5亿",0.0025445292620864,-0.0174563591022443,400.51360528105255,7.442436092212933,0.5293965512344064,0.3743,0.3743,1.0,年报扣非EPS,,,,,低估价值,深度低估,77.9,低估价值,,3.94,4.23,0.07360406091370564,0.10756190904502616,3.8191996,4.23,2025-05-06,2026-05-18
sh.601628,中国人寿,J68保险业,金融,PE,PE低估,36.8,100.0,100.0,51.0,29.0,66.2,77.3,48.0,62.7,"PE=9.04, 低估均值=15.96, 比值=0.57, 分位=0%",-0.0160427807486631,-0.0683544303797468,,,,,,,,9.037397,15.96024727272727,0.5662441718834159,0.0008163265306122,低估价值,价值线内/历史低位,77.3,低估价值,,36.8,34.75,-0.05570652173913038,-0.039615275683202555,36.183416,34.75,2025-05-06,2026-05-18
sh.601928,凤凰传媒,R86新闻和出版业,R86新闻和出版业,VALUE,基本价值线,11.6,91.5,91.5,68.4,55.8,54.5,77.3,63.1,70.2,"价值线=19.03, 现价/价值=0.61, 扣非EPS=0.80, akshare东方财富扣非净利润同比=38.7%, 市值=296.1亿",0.0283687943262411,0.0329474621549421,296.14364414635,19.02971071967508,0.6095731128485626,0.8,0.8,1.0,年报扣非EPS,,,,,低估价值,深度低估,77.3,低估价值,,11.6,9.13,-0.21293103448275852,-0.17039293207489903,11.00521,9.13,2025-05-06,2026-05-18
sh.600584,长电科技,C39计算机、通信和其他电子设备制造业,半导体/电子,VALUE,基本价值线,34.32,45.5,45.5,76.5,27.1,81.5,0.0,0.0,0.0,"Q1价值线=30.96, 现价/价值=1.11, akshare东方财富扣非净利润同比=79.3%, 市值=617.6亿",-0.0258302583025828,-0.133114422834049,617.6104547862419,30.95649911533447,1.108652495624074,0.86,0.86,1.0,年报扣非EPS,,,,,财报后主线候选,价值线附近/业绩强,76.7,财报后主线候选,0.79264458811645,34.32,58.33,0.6995920745920745,0.7071959252431075,34.16713872,58.33,2025-05-06,2026-05-18
sh.601567,三星电气,C40仪器仪表制造业,C40仪器仪表制造业,VALUE,基本价值线,25.32,75.0,49.6,84.0,0.0,59.8,76.6,50.5,59.6,"Q1价值线=28.05, 现价/价值=0.90, akshare东方财富扣非净利润同比=22.6%, 市值=357.4亿",-0.14890756302521,-0.1268965517241379,357.35264305985385,28.052460770578293,0.9025946139654129,1.56,1.56,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,76.6,价值线左侧确认,0.22622543647207,25.32,18.34,-0.27567140600315954,-0.2316699100837456,23.86994892,18.34,2025-05-06,2026-05-18
sh.600312,平高电气,C38电气机械和器材制造业,C38电气机械和器材制造业,VALUE,基本价值线,16.75,75.0,55.3,80.8,29.5,64.4,76.0,60.1,65.6,"Q1价值线=19.41, 现价/价值=0.86, akshare东方财富扣非净利润同比=56.2%, 市值=227.3亿",-0.0466704610130904,-0.0351382488479262,227.29551686182495,19.414419030535495,0.862760815744997,0.7315,0.7315,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,76.0,价值线左侧确认,0.5622998738784,16.75,21.82,0.3026865671641792,0.32311681388741476,16.49136325,21.82,2025-05-06,2026-05-18
sh.601155,新城控股,K70房地产业,K70房地产业,PB,PB低估,13.29,94.1,94.1,35.0,91.1,59.7,75.6,61.3,68.4,"PB=0.49, 低估均值=1.77, 比值=0.28, 分位=14%",0.075242718446602,0.2027149321266967,,,,,,,,0.49004,1.7711121666666667,0.2766849041087459,0.1426071741032371,低估价值,价值线内/历史低位,75.6,低估价值,,13.29,13.83,0.040632054176072296,0.040632054176072296,13.29,13.83,2025-05-06,2026-05-18
sh.603298,杭叉集团,C34通用设备制造业,C34通用设备制造业,VALUE,基本价值线,19.52,85.0,66.2,77.6,51.0,47.1,75.6,64.1,69.8,"价值线=24.82, 现价/价值=0.79, 扣非EPS=1.50, akshare东方财富扣非净利润同比=11.6%, 市值=255.7亿",-0.0912476722532589,0.0203868269733402,255.6945238207786,24.815759326747752,0.7865969258881512,1.5,1.5,1.0,年报扣非EPS,,,,,低估价值,深度低估,75.6,低估价值,,19.52,27.22,0.39446721311475397,0.44301007193463526,18.8633472,27.22,2025-05-06,2026-05-18
sh.601319,中国人保,J68保险业,金融,PE,PE低估,7.26,91.9,91.9,47.7,62.1,66.7,75.4,57.8,66.6,"PE=6.87, 低估均值=9.91, 比值=0.69, 分位=0%",0.0386266094420599,0.0506512301013024,,,,,,,,6.866991,9.905331749999998,0.6932620908936241,0.0044699872286079,低估价值,价值线内/历史低位,75.4,低估价值,,7.26,6.84,-0.05785123966942152,-0.036210305877597104,7.09698396,6.84,2025-05-06,2026-05-18
sh.601808,中海油服,B11开采专业及辅助性活动,B11开采专业及辅助性活动,VALUE,基本价值线,13.46,79.1,79.1,77.4,28.1,48.4,75.4,56.2,64.8,"Q1价值线=19.33, 现价/价值=0.70, akshare东方财富扣非净利润同比=46.4%, 市值=639.2亿",-0.0447125621007806,-0.0652777777777777,639.1520588235294,19.327238204800157,0.6964264556255662,0.68,0.68,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,75.4,价值线左侧确认,0.46438920237914,13.46,14.22,0.05646359583952454,0.07447611340463989,13.23435656,14.22,2025-05-06,2026-05-18
sh.601919,中远海控,G55水上运输业,G55水上运输业,PB,PB低估,14.56,93.6,93.6,48.5,34.7,83.1,75.4,51.1,63.2,"PB=0.93, 低估均值=1.95, 比值=0.48, 分位=15%",-0.002056202878684,0.0333569907735984,,,,,,,,0.932384,1.94978175,0.4781991625472954,0.1510204081632653,低估价值,价值线内/历史低位,75.4,低估价值,,14.56,14.0,-0.03846153846153855,0.06655344704101385,13.12639328,14.0,2025-05-06,2026-05-18
sh.601138,工业富联,C39计算机、通信和其他电子设备制造业,AI算力/CPO,VALUE,基本价值线,18.81,75.0,53.3,71.4,27.8,90.2,75.3,59.2,64.9,"Q1价值线=21.46, 现价/价值=0.88, akshare东方财富扣非净利润同比=14.8%, 市值=3732.3亿",-0.0595000000000001,-0.0595000000000001,3732.3273844067794,21.45611960666216,0.8766729653277783,1.18,1.18,1.0,年报扣非EPS,,,,,价值线左侧确认,基本价值线左侧,75.3,价值线左侧确认,0.1476458931112,18.81,68.98,2.6671982987772465,2.7595131440288756,18.34812045,68.98,2025-05-06,2026-05-18
sh.600216,浙江医药,C27医药制造业,医药医疗,PE,PE低估,13.47,100.0,100.0,45.0,28.0,57.9,74.8,43.7,59.3,"PE=8.87, 低估均值=14.81, 比值=0.60, 分位=0%",-0.0022222222222221,-0.1019999999999999,,,,,,,,8.872422,14.809385777777775,0.5991080341301874,0.0012244897959183,低估价值,价值线内/历史低位,74.8,低估价值,,13.47,13.89,0.031180400890868487,0.05648100807218137,13.14742044,13.89,2025-05-06,2026-05-18
sh.600731,湖南海利,C26化学原料和化学制品制造业,C26化学原料和化学制品制造业,PB,PB低估,6.68,94.8,94.8,38.0,85.4,43.2,74.5,58.2,66.4,"PB=1.16, 低估均值=1.90, 比值=0.61, 分位=12%",0.0229709035222052,0.1283783783783783,,,,,,,,1.160339,1.9019436,0.6100806564400754,0.1179591836734693,低估价值,价值线内/历史低位,74.5,低估价值,,6.68,6.14,-0.08083832335329344,,,,2025-05-06,2026-05-18
sh.600143,金发科技,C29橡胶和塑料制品业,资源金属,VALUE,基本价值线,11.11,85.0,63.6,61.4,57.6,68.8,73.6,62.3,67.9,"价值线=13.80, 现价/价值=0.81, 扣非EPS=0.26, akshare东方财富扣非净利润同比=168.6%, 市值=293.6亿",0.0045207956600361,0.086021505376344,293.5711853944657,13.79912927375036,0.8051232639101509,0.2555,0.2555,1.0,年报扣非EPS,,,,,低估价值,深度低估,73.6,低估价值,,,,,,,,,
