序号,日期,股票,代码,买卖,操作摘要,交易结果,成交价,数量(股),成交金额(元),手续费税费滑点(元),买卖理由,本次已实现盈亏(元),本次收益率(%),交易后持股(股),持仓状态,现金变化(元),选股理由,买卖依据对照,结构比例,锚点低/高,锚点日期
11,2024-10-09,洽洽食品,sz.002557,卖出,"卖出洽洽食品(sz.002557) 10600股，成交价27.32，成交金额289,592.00元，现金+289,277.79元，本次亏损-9,764.04元，收益率-3.27%，清仓","亏损-9,764.04元 (-3.27%)",27.32,10600,289592.0,314.21,收盘条件止损；14:55收盘代理价成交,-9764.04,-3.2651,0,清仓,289277.79,,,,,
12,2024-10-10,江铃汽车,sz.000550,买入,"买入江铃汽车(sz.000550) 11500股，成交价26.05，成交金额299,575.00元，现金-299,750.25元，交易后持股11500股",建仓成本175.25元,26.05,11500,299575.0,175.25,33未三日下行首仓；回调波段50%收盘放量向上突破；close_confirmed,-175.25,,11500,持有11500股,-299750.25,基本面硬条件通过且多周期强度居前；20日强度+28.3%；60日强度+37.0%；120日强度-1.0%；距120日高点-15.6%；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,0.5,11.81 / 32.22,2023-06-27 → 2024-08-01
13,2024-10-15,江铃汽车,sz.000550,卖出,"卖出江铃汽车(sz.000550) 11500股，成交价25.41，成交金额292,215.00元，现金+291,897.95元，本次亏损-7,852.30元，收益率-2.62%，清仓","亏损-7,852.30元 (-2.62%)",25.41,11500,292215.0,317.05,收盘条件止损；14:55收盘代理价成交,-7852.3,-2.6196,0,清仓,291897.95,,,,,
14,2024-10-23,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 5300股，成交价55.775，成交金额295,607.50元，现金-295,780.43元，交易后持股5300股",建仓成本172.93元,55.775,5300,295607.5,172.93,33未三日下行首仓；连阳波段一半拉回；一半位置止损；盘中触及结构位成交,-172.93,,5300,持有5300股,-295780.43,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；量能高于5/10日基准1.54倍；多周期均量扣低走高；基本面硬条件通过且多周期强度居前；20日强度+61.3%；60日强度+35.9%；120日强度+13.0%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；量能高于5/10日基准1.54倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；量能高于5/10日基准1.54倍；多周期均量扣低走高,,,
15,2024-10-28,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 2100股，成交价68.4，成交金额143,640.00元，现金-143,724.03元，交易后持股7400股",建仓成本84.03元,68.4,2100,143640.0,84.03,浮盈加仓50%；上涨波段75.0%拉回支撑5%区域；共振=MA5；close_confirmed,-84.03,,7400,持有7400股,-143724.03,基本面硬条件通过且多周期强度居前；20日强度+82.0%；60日强度+42.6%；120日强度+28.5%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,0.75,50.18 / 70.62,2024-04-24 → 2024-10-24
16,2024-10-29,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 1000股，成交价67.7，成交金额67,700.00元，现金+67,626.55元，本次盈利+11,818.92元，收益率+21.18%，剩余6400股","盈利11,818.92元 (+21.18%)",67.7,1000,67700.0,73.45,止盈条件=volume_node_break:2024-10-25；14:55收盘代理价成交,11818.92,21.178,6400,持有6400股,67626.55,,,,,
17,2024-10-31,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 2100股，成交价64.81，成交金额136,101.00元，现金+135,953.33元，本次亏损-7,770.70元，收益率-5.41%，剩余4300股","亏损-7,770.70元 (-5.41%)",64.81,2100,136101.0,147.67,收盘条件止损；14:55收盘代理价成交,-7770.7,-5.4067,4300,持有4300股,135953.33,,,,,
18,2024-11-01,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 1000股，成交价62.99，成交金额62,990.00元，现金+62,921.66元，本次盈利+7,114.03元，收益率+12.75%，剩余3300股","盈利7,114.03元 (+12.75%)",62.99,1000,62990.0,68.34,止盈条件=trailing_10；14:55收盘代理价成交,7114.03,12.7474,3300,持有3300股,62921.66,,,,,
19,2024-11-01,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 1400股，成交价62.99，成交金额88,186.00元，现金-88,237.59元，交易后持股4700股",建仓成本51.59元,62.99,1400,88186.0,51.59,浮盈加仓50%；上涨波段62.5%拉回支撑5%区域；共振=MA10；close_confirmed,-51.59,,4700,持有4700股,-88237.59,基本面硬条件通过且多周期强度居前；20日强度+58.3%；60日强度+33.3%；120日强度+18.5%；距120日高点-5.2%；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,0.625,47.79 / 71.87,2024-10-16 → 2024-10-28
20,2024-11-01,世运电路,sh.603920,买入,"买入世运电路(sh.603920) 11200股，成交价26.77，成交金额299,824.00元，现金-299,999.40元，交易后持股11200股",建仓成本175.40元,26.77,11200,299824.0,175.4,33未三日下行首仓；连阳波段一半拉回；一半位置止损；盘中触及结构位成交,-175.4,,11200,持有11200股,-299999.4,基本面硬条件通过且多周期强度居前；20日强度+34.7%；60日强度+43.6%；120日强度+65.7%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,,,
21,2024-11-04,世运电路,sh.603920,卖出,"卖出世运电路(sh.603920) 11200股，成交价26.7，成交金额299,040.00元，现金+298,715.54元，本次亏损-1,283.86元，收益率-0.43%，清仓","亏损-1,283.86元 (-0.43%)",26.7,11200,299040.0,324.46,收盘条件止损；14:55收盘代理价成交,-1283.86,-0.428,0,清仓,298715.54,,,,,
22,2024-11-05,博思软件,sz.300525,买入,"买入博思软件(sz.300525) 17700股，成交价16.89，成交金额298,953.00元，现金-299,127.89元，交易后持股17700股",建仓成本174.89元,16.89,17700,298953.0,174.89,33未三日下行首仓；跳空长阳越过MA20/MA60；缺口下沿止损；close_confirmed,-174.89,,17700,持有17700股,-299127.89,主流标准基本面模型入选；MA20/MA60同步上扬；贴近上扬MA20支撑；基本面硬条件通过且多周期强度居前；20日强度+7.7%；60日强度+41.9%；120日强度+35.2%；距120日高点-7.5%；MA20/MA60同步上扬；贴近上扬MA20支撑,MA20/MA60同步上扬；贴近上扬MA20支撑,,,
23,2024-11-12,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 2000股，成交价64.91，成交金额129,820.00元，现金-129,895.94元，交易后持股6700股",建仓成本75.94元,64.91,2000,129820.0,75.94,"浮盈加仓50%；上涨波段75.0%拉回支撑5%区域；共振=MA5,MA10,MA20；close_confirmed",-75.94,,6700,持有6700股,-129895.94,基本面硬条件通过且多周期强度居前；20日强度+27.6%；60日强度+59.0%；120日强度+36.1%；距120日高点-5.6%；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.22倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.22倍；多周期均量扣低走高,0.75,31.69 / 75.71,2023-07-21 → 2024-11-08
24,2024-11-13,博思软件,sz.300525,买入,"买入博思软件(sz.300525) 7800股，成交价19.12，成交金额149,136.00元，现金-149,223.24元，交易后持股25500股",建仓成本87.24元,19.12,7800,149136.0,87.24,浮盈加仓50%；上涨波段75.0%拉回支撑5%区域；共振=MA5；close_confirmed,-87.24,,25500,持有25500股,-149223.24,基本面硬条件通过且多周期强度居前；20日强度+20.5%；60日强度+74.7%；120日强度+59.6%；距120日高点-2.0%；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,0.75,15.89 / 19.84,2024-11-04 → 2024-11-11
25,2024-11-14,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 2000股，成交价63.39，成交金额126,780.00元，现金+126,642.44元，本次亏损-3,253.50元，收益率-2.50%，剩余4700股","亏损-3,253.50元 (-2.50%)",63.39,2000,126780.0,137.56,收盘条件止损；14:55收盘代理价成交,-3253.5,-2.5047,4700,持有4700股,126642.44,,,,,
26,2024-11-14,博思软件,sz.300525,卖出,"卖出博思软件(sz.300525) 7800股，成交价18.52，成交金额144,456.00元，现金+144,299.27元，本次亏损-4,923.98元，收益率-3.30%，剩余17700股","亏损-4,923.98元 (-3.30%)",18.52,7800,144456.0,156.73,收盘条件止损；14:55收盘代理价成交,-4923.98,-3.2997,17700,持有17700股,144299.27,,,,,
27,2024-11-15,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 1400股，成交价58.37，成交金额81,718.00元，现金+81,629.34元，本次亏损-6,608.25元，收益率-7.49%，剩余3300股","亏损-6,608.25元 (-7.49%)",58.37,1400,81718.0,88.66,收盘条件止损；14:55收盘代理价成交,-6608.25,-7.4892,3300,持有3300股,81629.34,,,,,
28,2024-11-15,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 2200股，成交价58.37，成交金额128,414.00元，现金+128,274.67元，本次盈利+5,497.89元，收益率+4.48%，剩余1100股","盈利5,497.89元 (+4.48%)",58.37,2200,128414.0,139.33,"止盈条件=profit_floor,rising_ma20_break_3pct；14:55收盘代理价成交",5497.89,4.478,1100,持有1100股,128274.67,,,,,
29,2024-11-18,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 1100股，成交价56.93，成交金额62,623.00元，现金+62,555.05元，本次盈利+1,166.66元，收益率+1.90%，清仓","盈利1,166.66元 (+1.90%)",56.93,1100,62623.0,67.95,止盈条件=maximum_profit_half；14:55收盘代理价成交,1166.66,1.9005,0,清仓,62555.05,,,,,
30,2024-11-18,博思软件,sz.300525,卖出,"卖出博思软件(sz.300525) 7000股，成交价16.67，成交金额116,690.00元，现金+116,563.39元，本次亏损-1,735.77元，收益率-1.47%，剩余10700股","亏损-1,735.77元 (-1.47%)",16.67,7000,116690.0,126.61,"止盈条件=profit_floor,rising_ma20_break_3pct；14:55收盘代理价成交",-1735.77,-1.4673,10700,持有10700股,116563.39,,,,,
31,2024-11-22,达梦数据,sh.688692,买入,"买入达梦数据(sh.688692) 1000股，成交价269.81，成交金额269,810.00元，现金-269,967.84元，交易后持股1000股",建仓成本157.84元,269.81,1000,269810.0,157.84,33未三日下行首仓；连阳波段一半拉回；一半位置止损；盘中触及结构位成交,-157.84,,1000,持有1000股,-269967.84,基本面硬条件通过且多周期强度居前；20日强度+34.1%；60日强度+94.9%；距120日高点-6.6%；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.24倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.24倍；多周期均量扣低走高,,,
32,2024-11-25,达梦数据,sh.688692,卖出,"卖出达梦数据(sh.688692) 1000股，成交价257.59，成交金额257,590.00元，现金+257,310.51元，本次亏损-12,657.32元，收益率-4.69%，清仓","亏损-12,657.32元 (-4.69%)",257.59,1000,257590.0,279.49,收盘条件止损；14:55收盘代理价成交,-12657.32,-4.6885,0,清仓,257310.51,,,,,
33,2024-12-06,欣旺达,sz.300207,买入,"买入欣旺达(sz.300207) 12800股，成交价23.32，成交金额298,496.00元，现金-298,670.62元，交易后持股12800股",建仓成本174.62元,23.32,12800,298496.0,174.62,33未三日下行首仓；回调波段50%收盘放量向上突破；close_confirmed,-174.62,,12800,持有12800股,-298670.62,基本价值线模型入选；MA20/MA60同步上扬；贴近上扬MA20支撑；基本面硬条件通过且多周期强度居前；20日强度-2.3%；60日强度+38.7%；120日强度+57.3%；距120日高点-11.7%；MA20/MA60同步上扬；贴近上扬MA20支撑,MA20/MA60同步上扬；贴近上扬MA20支撑,0.5,10.34 / 25.98,2024-02-05 → 2024-10-08
34,2024-12-13,欣旺达,sz.300207,卖出,"卖出欣旺达(sz.300207) 12800股，成交价22.84，成交金额292,352.00元，现金+292,034.80元，本次亏损-6,635.82元，收益率-2.22%，清仓","亏损-6,635.82元 (-2.22%)",22.84,12800,292352.0,317.2,收盘条件止损；14:55收盘代理价成交,-6635.82,-2.2218,0,清仓,292034.8,,,,,
35,2024-12-19,乖宝宠物,sz.301498,买入,"买入乖宝宠物(sz.301498) 4200股，成交价70.26，成交金额295,092.00元，现金-295,264.63元，交易后持股4200股",建仓成本172.63元,70.26,4200,295092.0,172.63,33未三日下行首仓；W底收盘放量突破颈线；close_confirmed,-172.63,,4200,持有4200股,-295264.63,基本面硬条件通过且多周期强度居前；20日强度+10.3%；60日强度+32.4%；120日强度+26.3%；距120日高点-2.7%；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）,,,
36,2024-12-25,博思软件,sz.300525,卖出,"卖出博思软件(sz.300525) 10700股，成交价15.94，成交金额170,558.00元，现金+170,372.94元，本次亏损-10,455.78元，收益率-5.78%，清仓","亏损-10,455.78元 (-5.78%)",15.94,10700,170558.0,185.06,收盘条件止损；14:55收盘代理价成交,-10455.78,-5.7821,0,清仓,170372.94,,,,,
37,2024-12-30,中信博,sh.688408,买入,"买入中信博(sh.688408) 200股，成交价66.843，成交金额13,368.52元，现金-13,380.20元，交易后持股800股",建仓成本11.68元,66.843,200,13368.52,11.68,L4；价值线网格第4份；盘中触及结构位成交,-11.68,,800,持有800股,-13380.2,,,,,
38,2024-12-30,中信博,sh.688408,买入,"买入中信博(sh.688408) 200股，成交价66.843，成交金额13,368.52元，现金-13,380.20元，交易后持股1000股",建仓成本11.68元,66.843,200,13368.52,11.68,L5；价值线网格第5份；盘中触及结构位成交,-11.68,,1000,持有1000股,-13380.2,,,,,
39,2024-12-31,中信博,sh.688408,卖出,"卖出中信博(sh.688408) 200股，成交价70.185，成交金额14,036.94元，现金+14,017.90元，本次盈利+637.70元，收益率+4.77%，剩余800股",盈利637.70元 (+4.77%),70.185,200,14036.94,19.04,L4；上一格卖出；盘中触及结构位成交,637.7,4.766,800,持有800股,14017.9,,,,,
40,2025-01-02,乖宝宠物,sz.301498,买入,"买入乖宝宠物(sz.301498) 1800股，成交价78.02，成交金额140,436.00元，现金-140,518.16元，交易后持股6000股",建仓成本82.16元,78.02,1800,140436.0,82.16,"浮盈加仓50%；上涨波段75.0%拉回支撑5%区域；共振=MA5,MA10；close_confirmed",-82.16,,6000,持有6000股,-140518.16,基本面硬条件通过且多周期强度居前；20日强度+16.9%；60日强度+17.9%；120日强度+49.4%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）,0.75,66.41 / 80.06,2024-12-18 → 2024-12-30
41,2025-01-03,中信博,sh.688408,买入,"买入中信博(sh.688408) 200股，成交价66.58，成交金额13,316.00元，现金-13,327.66元，交易后持股1000股",建仓成本11.66元,66.58,200,13316.0,11.66,L4；价值线网格第4份；开盘已触发成交,-11.66,,1000,持有1000股,-13327.66,,,,,
42,2025-01-06,中信博,sh.688408,卖出,"卖出中信博(sh.688408) 200股，成交价70.185，成交金额14,036.94元，现金+14,017.90元，本次盈利+690.25元，收益率+5.18%，剩余800股",盈利690.25元 (+5.18%),70.185,200,14036.94,19.04,L4；上一格卖出；盘中触及结构位成交,690.25,5.179,800,持有800股,14017.9,,,,,
43,2025-01-08,中信博,sh.688408,买入,"买入中信博(sh.688408) 200股，成交价66.843，成交金额13,368.52元，现金-13,380.20元，交易后持股1000股",建仓成本11.68元,66.843,200,13368.52,11.68,L4；价值线网格第4份；盘中触及结构位成交,-11.68,,1000,持有1000股,-13380.2,,,,,
44,2025-01-09,中信博,sh.688408,卖出,"卖出中信博(sh.688408) 200股，成交价70.185，成交金额14,036.94元，现金+14,017.90元，本次盈利+637.70元，收益率+4.77%，剩余800股",盈利637.70元 (+4.77%),70.185,200,14036.94,19.04,L4；上一格卖出；盘中触及结构位成交,637.7,4.766,800,持有800股,14017.9,,,,,
45,2025-01-10,中信博,sh.688408,买入,"买入中信博(sh.688408) 200股，成交价66.843，成交金额13,368.52元，现金-13,380.20元，交易后持股1000股",建仓成本11.68元,66.843,200,13368.52,11.68,L4；价值线网格第4份；盘中触及结构位成交,-11.68,,1000,持有1000股,-13380.2,,,,,
46,2025-01-13,乖宝宠物,sz.301498,卖出,"卖出乖宝宠物(sz.301498) 1800股，成交价81.57，成交金额146,826.00元，现金+146,666.69元，本次盈利+6,148.54元，收益率+4.38%，剩余4200股","盈利6,148.54元 (+4.38%)",81.57,1800,146826.0,159.31,entry time condition；14:55收盘代理价成交,6148.54,4.3756,4200,持有4200股,146666.69,,,,,
47,2025-01-14,中信博,sh.688408,卖出,"卖出中信博(sh.688408) 200股，成交价70.185，成交金额14,036.94元，现金+14,017.90元，本次盈利+637.70元，收益率+4.77%，剩余800股",盈利637.70元 (+4.77%),70.185,200,14036.94,19.04,L4；上一格卖出；盘中触及结构位成交,637.7,4.766,800,持有800股,14017.9,,,,,
48,2025-01-21,润泽科技,sz.300442,买入,"买入润泽科技(sz.300442) 5500股，成交价54.54，成交金额299,970.00元，现金-300,145.48元，交易后持股5500股",建仓成本175.48元,54.54,5500,299970.0,175.48,33未三日下行首仓；回调波段50%收盘放量向上突破；跳空向上加分；close_confirmed,-175.48,,5500,持有5500股,-300145.48,基本面硬条件通过且多周期强度居前；20日强度-5.3%；60日强度+65.0%；120日强度+156.3%；距120日高点-9.1%；MA20/MA60同步上扬；收盘站上MA20,MA20/MA60同步上扬；收盘站上MA20,0.5,22.17 / 61.09,2024-09-23 → 2024-12-20
49,2025-01-23,中信博,sh.688408,买入,"买入中信博(sh.688408) 200股，成交价60.75，成交金额12,150.00元，现金-12,161.08元，交易后持股1000股",建仓成本11.07元,60.75,200,12150.0,11.07,L4；价值线网格第4份；开盘已触发成交,-11.07,,1000,持有1000股,-12161.08,,,,,
50,2025-01-23,中信博,sh.688408,买入,"买入中信博(sh.688408) 200股，成交价60.75，成交金额12,150.00元，现金-12,161.08元，交易后持股1200股",建仓成本11.07元,60.75,200,12150.0,11.07,L6；价值线网格第6份；开盘已触发成交,-11.07,,1200,持有1200股,-12161.08,,,,,
51,2025-01-23,中信博,sh.688408,买入,"买入中信博(sh.688408) 200股，成交价60.325，成交金额12,065.08元，现金-12,076.12元，交易后持股1400股",建仓成本11.03元,60.325,200,12065.08,11.03,L7；价值线网格第7份；盘中触及结构位成交,-11.03,,1400,持有1400股,-12076.12,,,,,
52,2025-01-23,乖宝宠物,sz.301498,买入,"买入乖宝宠物(sz.301498) 1500股，成交价93.65，成交金额140,475.00元，现金-140,557.18元，交易后持股5700股",建仓成本82.18元,93.65,1500,140475.0,82.18,"浮盈加仓50%；上涨波段75.0%拉回支撑5%区域；共振=MA5,MA10；close_confirmed",-82.18,,5700,持有5700股,-140557.18,基本面硬条件通过且多周期强度居前；20日强度+24.5%；60日强度+44.2%；120日强度+110.3%；距120日高点-3.0%；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,0.75,75.42 / 94.82,2025-01-06 → 2025-01-21
53,2025-02-05,中信博,sh.688408,买入,"买入中信博(sh.688408) 200股，成交价57.309，成交金额11,461.83元，现金-11,472.56元，交易后持股1600股",建仓成本10.73元,57.309,200,11461.83,10.73,L8；价值线网格第8份；盘中触及结构位成交,-10.73,,1600,持有1600股,-11472.56,,,,,
54,2025-02-06,乖宝宠物,sz.301498,卖出,"卖出乖宝宠物(sz.301498) 1500股，成交价88.51，成交金额132,765.00元，现金+132,620.95元，本次亏损-7,936.23元，收益率-5.65%，剩余4200股","亏损-7,936.23元 (-5.65%)",88.51,1500,132765.0,144.05,收盘条件止损；14:55收盘代理价成交,-7936.23,-5.6463,4200,持有4200股,132620.95,,,,,
55,2025-02-06,乖宝宠物,sz.301498,卖出,"卖出乖宝宠物(sz.301498) 800股，成交价88.51，成交金额70,808.00元，现金+70,731.17元，本次盈利+14,490.29元，收益率+25.76%，剩余3400股","盈利14,490.29元 (+25.76%)",88.51,800,70808.0,76.83,止盈条件=trailing_10；14:55收盘代理价成交,14490.29,25.7647,3400,持有3400股,70731.17,,,,,
56,2025-02-07,乖宝宠物,sz.301498,买入,"买入乖宝宠物(sz.301498) 1300股，成交价90.06，成交金额117,078.00元，现金-117,146.49元，交易后持股4700股",建仓成本68.49元,90.06,1300,117078.0,68.49,"浮盈加仓50%；上涨波段75.0%拉回支撑5%区域；共振=MA10,MA20；close_confirmed",-68.49,,4700,持有4700股,-117146.49,基本面硬条件通过且多周期强度居前；20日强度+14.2%；60日强度+39.0%；120日强度+106.3%；距120日高点-9.2%；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.84倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.84倍；多周期均量扣低走高,0.75,55.63 / 98.88,2024-10-18 → 2025-01-27
57,2025-02-07,润泽科技,sz.300442,买入,"买入润泽科技(sz.300442) 2400股，成交价61.22，成交金额146,928.00元，现金-147,013.95元，交易后持股7900股",建仓成本85.95元,61.22,2400,146928.0,85.95,浮盈加仓50%；上涨波段75.0%拉回支撑5%区域；共振=MA5；close_confirmed,-85.95,,7900,持有7900股,-147013.95,基本面硬条件通过且多周期强度居前；20日强度+19.5%；60日强度+88.1%；120日强度+191.9%；距120日高点+0.0%；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,0.75,46.06 / 65.74,2025-01-08 → 2025-02-05
58,2025-02-10,润泽科技,sz.300442,卖出,"卖出润泽科技(sz.300442) 2400股，成交价60.51，成交金额145,224.00元，现金+145,066.43元，本次亏损-1,947.52元，收益率-1.32%，剩余5500股","亏损-1,947.52元 (-1.32%)",60.51,2400,145224.0,157.57,收盘条件止损；14:55收盘代理价成交,-1947.52,-1.3247,5500,持有5500股,145066.43,,,,,
59,2025-02-11,润泽科技,sz.300442,卖出,"卖出润泽科技(sz.300442) 1100股，成交价57.31，成交金额63,041.00元，现金+62,972.60元，本次盈利+2,943.50元，收益率+4.90%，剩余4400股","盈利2,943.50元 (+4.90%)",57.31,1100,63041.0,68.4,止盈条件=trailing_10；14:55收盘代理价成交,2943.5,4.9035,4400,持有4400股,62972.6,,,,,
60,2025-02-11,润泽科技,sz.300442,买入,"买入润泽科技(sz.300442) 2000股，成交价57.31，成交金额114,620.00元，现金-114,687.05元，交易后持股6400股",建仓成本67.05元,57.31,2000,114620.0,67.05,"浮盈加仓50%；上涨波段75.0%拉回支撑5%区域；共振=MA10,MA20；close_confirmed",-67.05,,6400,持有6400股,-114687.05,基本面硬条件通过且多周期强度居前；20日强度+27.0%；60日强度+82.1%；120日强度+191.8%；距120日高点-1.3%；MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；候选观察：接近21日收盘高点（非买点）；多周期均量扣低走高,0.75,30.16 / 65.74,2024-11-01 → 2025-02-05
