序号,日期,股票,代码,买卖,操作摘要,交易结果,成交价,数量(股),成交金额(元),手续费税费滑点(元),买卖理由,本次已实现盈亏(元),本次收益率(%),交易后持股(股),持仓状态,现金变化(元),选股理由,买卖依据对照,结构比例,锚点低/高,锚点日期
11,2024-10-11,中国人寿,sh.601628,卖出,"卖出中国人寿(sh.601628) 1100股，成交价41.11，成交金额45,221.00元，现金+45,170.78元，本次盈利+5,360.50元，收益率+13.47%，剩余3300股","盈利5,360.50元 (+13.47%)",41.11,1100,45221.0,50.22,14:55收盘代理价成交,5360.5,13.4651,3300,持有3300股,45170.78,,,,,
12,2024-10-11,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 5700股，成交价52.36，成交金额298,452.00元，现金-298,626.59元，交易后持股5700股",建仓成本174.59元,52.36,5700,298452.0,174.59,33上行首仓；上涨波段75.0%拉回支撑；共振=MA5；开盘已触发成交,-174.59,,5700,持有5700股,-298626.59,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,0.75,28.33 / 60.82,2024-01-29 → 2024-10-09
13,2024-10-14,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 5700股，成交价51.42，成交金额293,094.00元，现金+292,775.99元，本次亏损-5,850.60元，收益率-1.96%，清仓","亏损-5,850.60元 (-1.96%)",51.42,5700,293094.0,318.01,收盘条件止损；14:55收盘代理价成交,-5850.6,-1.9592,0,清仓,292775.99,,,,,
14,2024-10-14,达梦数据,sh.688692,买入,"买入达梦数据(sh.688692) 800股，成交价202.425，成交金额161,940.00元，现金-162,034.73元，交易后持股800股",建仓成本94.73元,202.425,800,161940.0,94.73,直接突破首仓；上涨波段50%有效跌破后重新突破；盘中突破成交,-94.73,,800,持有800股,-162034.73,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,0.5,155.04 / 249.81,2024-09-24 → 2024-10-08
15,2024-10-15,中国人寿,sh.601628,买入,"买入中国人寿(sh.601628) 1400股，成交价41.64，成交金额58,296.00元，现金-58,330.15元，交易后持股4700股",建仓成本34.15元,41.64,1400,58296.0,34.15,浮盈加仓50%；上涨波段75.0%拉回支撑；共振=MA5；开盘已触发成交,-34.15,,4700,持有4700股,-58330.15,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,0.75,29.67 / 46.6,2023-07-21 → 2024-10-08
16,2024-10-16,中国人寿,sh.601628,卖出,"卖出中国人寿(sh.601628) 1400股，成交价41.34，成交金额57,876.00元，现金+57,813.12元，本次亏损-517.02元，收益率-0.89%，剩余3300股",亏损-517.02元 (-0.89%),41.34,1400,57876.0,62.88,收盘条件止损；14:55收盘代理价成交,-517.02,-0.8864,3300,持有3300股,57813.12,,,,,
17,2024-10-17,中国人寿,sh.601628,买入,"买入中国人寿(sh.601628) 1400股，成交价41.24，成交金额57,736.00元，现金-57,769.87元，交易后持股4700股",建仓成本33.87元,41.24,1400,57736.0,33.87,"浮盈加仓50%；上涨波段75.0%拉回支撑；共振=MA5,MA10；盘中触及结构位成交",-33.87,,4700,持有4700股,-57769.87,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20,MA20/MA60同步上扬；收盘站上MA20,0.75,25.16 / 46.6,2024-04-12 → 2024-10-08
18,2024-10-21,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 5600股，成交价52.697，成交金额295,106.00元，现金-295,278.64元，交易后持股5600股",建仓成本172.64元,52.697,5600,295106.0,172.64,33上行首仓；上涨波段75.0%拉回支撑；共振=MA10；盘中触及结构位成交,-172.64,,5600,持有5600股,-295278.64,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.28倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.28倍；多周期均量扣低走高,0.75,28.33 / 60.82,2024-01-29 → 2024-10-09
19,2024-10-22,达梦数据,sh.688692,买入,"买入达梦数据(sh.688692) 200股，成交价214.271，成交金额42,854.25元，现金-42,880.68元，交易后持股1000股",建仓成本26.43元,214.271,200,42854.25,26.43,"浮盈加仓50%；上涨波段62.5%拉回支撑；共振=MA5,MA10；盘中触及结构位成交",-26.43,,1000,持有1000股,-42880.68,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,0.625,155.04 / 249.81,2024-09-24 → 2024-10-08
20,2024-10-23,达梦数据,sh.688692,卖出,"卖出达梦数据(sh.688692) 200股，成交价208.75，成交金额41,750.00元，现金+41,703.25元，本次亏损-1,177.43元，收益率-2.75%，剩余800股","亏损-1,177.43元 (-2.75%)",208.75,200,41750.0,46.75,收盘条件止损；14:55收盘代理价成交,-1177.43,-2.7458,800,持有800股,41703.25,,,,,
21,2024-10-23,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 1500股，成交价62.28，成交金额93,420.00元，现金-93,474.65元，交易后持股7100股",建仓成本54.65元,62.28,1500,93420.0,54.65,浮盈加仓33%；价格突破21日收盘高点；盘中突破成交,-54.65,,7100,持有7100股,-93474.65,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.54倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.54倍；多周期均量扣低走高,,,
22,2024-10-24,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 1500股，成交价59.4，成交金额89,100.00元，现金+89,003.33元，本次亏损-4,471.32元，收益率-4.78%，剩余5600股","亏损-4,471.32元 (-4.78%)",59.4,1500,89100.0,96.67,开盘未站上62.280；跳空止损成交,-4471.32,-4.7835,5600,持有5600股,89003.33,,,,,
23,2024-10-24,天孚通信,sz.300394,买入,"买入天孚通信(sz.300394) 1500股，成交价62.28，成交金额93,420.00元，现金-93,474.65元，交易后持股7100股",建仓成本54.65元,62.28,1500,93420.0,54.65,浮盈加仓33%；价格突破21日收盘高点；盘中突破成交,-54.65,,7100,持有7100股,-93474.65,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.38倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.38倍；多周期均量扣低走高,,,
24,2024-10-25,达梦数据,sh.688692,买入,"买入达梦数据(sh.688692) 200股，成交价209.61，成交金额41,922.00元，现金-41,947.96元，交易后持股1000股",建仓成本25.96元,209.61,200,41922.0,25.96,浮盈加仓50%；上涨波段62.5%拉回支撑；共振=MA10；开盘已触发成交,-25.96,,1000,持有1000股,-41947.96,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；多周期均量扣低走高,0.625,144.43 / 249.81,2024-08-26 → 2024-10-08
25,2024-10-28,达梦数据,sh.688692,卖出,"卖出达梦数据(sh.688692) 200股，成交价204.79，成交金额40,958.00元，现金+40,912.04元，本次亏损-1,035.92元，收益率-2.47%，剩余800股","亏损-1,035.92元 (-2.47%)",204.79,200,40958.0,45.96,收盘条件止损；14:55收盘代理价成交,-1035.92,-2.4695,800,持有800股,40912.04,,,,,
26,2024-10-29,达梦数据,sh.688692,卖出,"卖出达梦数据(sh.688692) 800股，成交价195.38，成交金额156,304.00元，现金+156,134.41元，本次亏损-5,900.32元，收益率-3.64%，清仓","亏损-5,900.32元 (-3.64%)",195.38,800,156304.0,169.59,收盘条件止损；14:55收盘代理价成交,-5900.32,-3.6414,0,清仓,156134.41,,,,,
27,2024-10-29,艾力斯,sh.688578,买入,"买入艾力斯(sh.688578) 5400股，成交价53.89，成交金额291,006.00元，现金-291,176.24元，交易后持股5400股",建仓成本170.24元,53.89,5400,291006.0,170.24,33上行首仓；上涨波段50.0%拉回支撑；共振=MA10；盘中触及结构位成交,-170.24,,5400,持有5400股,-291176.24,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20,MA20/MA60同步上扬；收盘站上MA20,0.5,42.81 / 64.97,2024-09-10 → 2024-10-08
28,2024-10-30,中国人寿,sh.601628,卖出,"卖出中国人寿(sh.601628) 1400股，成交价40.81，成交金额57,134.00元，现金+57,071.87元，本次亏损-698.00元，收益率-1.21%，剩余3300股",亏损-698.00元 (-1.21%),40.81,1400,57134.0,62.13,收盘条件止损；14:55收盘代理价成交,-698.0,-1.2082,3300,持有3300股,57071.87,,,,,
29,2024-10-30,艾力斯,sh.688578,卖出,"卖出艾力斯(sh.688578) 5400股，成交价51.53，成交金额278,262.00元，现金+277,960.09元，本次亏损-13,216.15元，收益率-4.54%，清仓","亏损-13,216.15元 (-4.54%)",51.53,5400,278262.0,301.91,收盘条件止损；14:55收盘代理价成交,-13216.15,-4.5389,0,清仓,277960.09,,,,,
30,2024-10-30,达梦数据,sh.688692,买入,"买入达梦数据(sh.688692) 800股，成交价202.425，成交金额161,940.00元，现金-162,034.73元，交易后持股800股",建仓成本94.73元,202.425,800,161940.0,94.73,直接突破首仓；上涨波段50%有效跌破后重新突破；盘中突破成交,-94.73,,800,持有800股,-162034.73,主流标准基本面模型入选；MA20/MA60同步上扬；量能高于5/10日基准1.37倍；多周期均量扣低走高,MA20/MA60同步上扬；量能高于5/10日基准1.37倍；多周期均量扣低走高,0.5,155.04 / 249.81,2024-09-24 → 2024-10-08
31,2024-11-01,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 1100股，成交价62.99，成交金额69,289.00元，现金+69,213.82元，本次盈利+11,212.66元，收益率+19.33%，剩余6000股","盈利11,212.66元 (+19.33%)",62.99,1100,69289.0,75.18,14:55收盘代理价成交,11212.66,19.3318,6000,持有6000股,69213.82,,,,,
32,2024-11-01,中国人寿,sh.601628,买入,"买入中国人寿(sh.601628) 900股，成交价40.48，成交金额36,432.00元，现金-36,455.22元，交易后持股4200股",建仓成本23.22元,40.48,900,36432.0,23.22,浮盈加仓33%；上涨波段50%有效跌破后重新突破；盘中突破成交,-23.22,,4200,持有4200股,-36455.22,主流标准基本面模型入选；MA20/MA60同步上扬；贴近上扬MA20支撑；多周期均量扣低走高,MA20/MA60同步上扬；贴近上扬MA20支撑；多周期均量扣低走高,0.5,34.36 / 46.6,2023-08-03 → 2024-10-08
33,2024-11-08,中国人寿,sh.601628,买入,"买入中国人寿(sh.601628) 1000股，成交价48.99，成交金额48,990.00元，现金-49,019.50元，交易后持股5200股",建仓成本29.50元,48.99,1000,48990.0,29.5,浮盈加仓33%；价格突破21日收盘高点；跳空越过触发价成交,-29.5,,5200,持有5200股,-49019.5,主流标准基本面模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.70倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.70倍；多周期均量扣低走高,,,
34,2024-11-11,中国人寿,sh.601628,卖出,"卖出中国人寿(sh.601628) 1000股，成交价46.6，成交金额46,600.00元，现金+46,548.40元，本次亏损-2,471.09元，收益率-5.04%，剩余4200股","亏损-2,471.09元 (-5.04%)",46.6,1000,46600.0,51.6,开盘未站上47.280；跳空止损成交,-2471.09,-5.041,4200,持有4200股,46548.4,,,,,
35,2024-11-14,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 1100股，成交价63.39，成交金额69,729.00元，现金+69,653.34元，本次盈利+11,652.18元，收益率+20.09%，剩余4900股","盈利11,652.18元 (+20.09%)",63.39,1100,69729.0,75.66,14:55收盘代理价成交,11652.18,20.0896,4900,持有4900股,69653.34,,,,,
36,2024-11-15,达梦数据,sh.688692,卖出,"卖出达梦数据(sh.688692) 200股，成交价247.76，成交金额49,552.00元，现金+49,497.45元，本次盈利+8,988.76元，收益率+22.19%，剩余600股","盈利8,988.76元 (+22.19%)",247.76,200,49552.0,54.55,14:55收盘代理价成交,8988.76,22.1897,600,持有600股,49497.45,,,,,
37,2024-11-15,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 1500股，成交价58.37，成交金额87,555.00元，现金+87,460.00元，本次亏损-6,014.65元，收益率-6.43%，剩余3400股","亏损-6,014.65元 (-6.43%)",58.37,1500,87555.0,95.0,收盘条件止损；14:55收盘代理价成交,-6014.65,-6.4345,3400,持有3400股,87460.0,,,,,
38,2024-11-22,中国人寿,sh.601628,卖出,"卖出中国人寿(sh.601628) 900股，成交价40.4，成交金额36,360.00元，现金+36,318.64元，本次亏损-136.58元，收益率-0.37%，剩余3300股",亏损-136.58元 (-0.37%),40.4,900,36360.0,41.36,收盘条件止损；14:55收盘代理价成交,-136.58,-0.3746,3300,持有3300股,36318.64,,,,,
39,2024-11-25,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 1100股，成交价52.78，成交金额58,058.00元，现金+57,994.94元，本次亏损-6.22元，收益率-0.01%，剩余2300股",亏损-6.22元 (-0.01%),52.78,1100,58058.0,63.06,14:55收盘代理价成交,-6.22,-0.0107,2300,持有2300股,57994.94,,,,,
40,2024-11-28,天孚通信,sz.300394,卖出,"卖出天孚通信(sz.300394) 2300股，成交价51.15，成交金额117,645.00元，现金+117,517.36元，本次亏损-3,757.80元，收益率-3.10%，清仓","亏损-3,757.80元 (-3.10%)",51.15,2300,117645.0,127.64,收盘条件止损；14:55收盘代理价成交,-3757.8,-3.0986,0,清仓,117517.36,,,,,
41,2024-11-28,浙江鼎力,sh.603338,买入,"买入浙江鼎力(sh.603338) 3400股，成交价58.385，成交金额198,509.00元，现金-198,625.13元，交易后持股3400股",建仓成本116.13元,58.385,3400,198509.0,116.13,直接突破首仓；上涨波段50%有效跌破后重新突破；盘中突破成交,-116.13,,3400,持有3400股,-198625.13,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.37倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内；量能高于5/10日基准1.37倍；多周期均量扣低走高,0.5,47.01 / 69.76,2023-09-22 → 2024-05-14
42,2024-11-29,浙江鼎力,sh.603338,卖出,"卖出浙江鼎力(sh.603338) 3400股，成交价58.21，成交金额197,914.00元，现金+197,699.26元，本次亏损-925.86元，收益率-0.47%，清仓",亏损-925.86元 (-0.47%),58.21,3400,197914.0,214.74,开盘未站上58.385；跳空止损成交,-925.86,-0.4661,0,清仓,197699.26,,,,,
43,2024-11-29,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 5100股，成交价38.92，成交金额198,492.00元，现金-198,608.12元，交易后持股5100股",建仓成本116.12元,38.92,5100,198492.0,116.12,直接突破首仓；上涨波段50%有效跌破后重新突破；盘中突破成交,-116.12,,5100,持有5100股,-198608.12,基本价值线模型入选；基本面入选，等待价格/量能买点,基本面入选，等待价格/量能买点,0.5,34.78 / 43.06,2024-09-11 → 2024-11-06
44,2024-12-02,金诚信,sh.603979,卖出,"卖出金诚信(sh.603979) 5100股，成交价38.68，成交金额197,268.00元，现金+197,053.96元，本次亏损-1,554.15元，收益率-0.78%，清仓","亏损-1,554.15元 (-0.78%)",38.68,5100,197268.0,214.04,开盘未站上38.920；跳空止损成交,-1554.15,-0.7825,0,清仓,197053.96,,,,,
45,2024-12-02,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 5100股，成交价38.92，成交金额198,492.00元，现金-198,608.12元，交易后持股5100股",建仓成本116.12元,38.92,5100,198492.0,116.12,直接突破首仓；上涨波段50%有效跌破后重新突破；盘中突破成交,-116.12,,5100,持有5100股,-198608.12,基本价值线模型入选；多周期均量扣低走高,多周期均量扣低走高,0.5,34.78 / 43.06,2024-09-11 → 2024-11-06
46,2024-12-03,金诚信,sh.603979,卖出,"卖出金诚信(sh.603979) 5100股，成交价38.71，成交金额197,421.00元，现金+197,206.80元，本次亏损-1,401.32元，收益率-0.71%，清仓","亏损-1,401.32元 (-0.71%)",38.71,5100,197421.0,214.2,开盘未站上38.920；跳空止损成交,-1401.32,-0.7056,0,清仓,197206.8,,,,,
47,2024-12-03,金诚信,sh.603979,买入,"买入金诚信(sh.603979) 5200股，成交价38.34，成交金额199,368.00元，现金-199,484.63元，交易后持股5200股",建仓成本116.63元,38.34,5200,199368.0,116.63,33未上行首仓；上涨波段50.0%拉回支撑；共振=MA5；盘中触及结构位成交,-116.63,,5200,持有5200股,-199484.63,基本价值线模型入选；基本面入选，等待价格/量能买点,基本面入选，等待价格/量能买点,0.5,34.78 / 41.9,2024-09-11 → 2024-11-21
48,2024-12-09,金诚信,sh.603979,卖出,"卖出金诚信(sh.603979) 5200股，成交价40.14，成交金额208,728.00元，现金+208,501.53元，本次盈利+9,016.90元，收益率+4.52%，清仓","盈利9,016.90元 (+4.52%)",40.14,5200,208728.0,226.47,entry time condition；14:55收盘代理价成交,9016.9,4.5201,0,清仓,208501.53,,,,,
49,2024-12-09,紫金矿业,sh.601899,买入,"买入紫金矿业(sh.601899) 13100股，成交价15.255，成交金额199,840.50元，现金-199,957.41元，交易后持股13100股",建仓成本116.91元,15.255,13100,199840.5,116.91,直接突破首仓；上涨波段50%有效跌破后重新突破；盘中突破成交,-116.91,,13100,持有13100股,-199957.41,基本价值线模型入选；基本面入选，等待价格/量能买点,基本面入选，等待价格/量能买点,0.5,13.43 / 17.08,2024-09-09 → 2024-11-05
50,2024-12-13,紫金矿业,sh.601899,卖出,"卖出紫金矿业(sh.601899) 13100股，成交价15.01，成交金额196,631.00元，现金+196,417.66元，本次亏损-3,539.75元，收益率-1.77%，清仓","亏损-3,539.75元 (-1.77%)",15.01,13100,196631.0,213.34,收盘条件止损；14:55收盘代理价成交,-3539.75,-1.7703,0,清仓,196417.66,,,,,
51,2024-12-13,宇通客车,sh.600066,买入,"买入宇通客车(sh.600066) 9500股，成交价20.861，成交金额198,181.88元，现金-198,297.81元，交易后持股9500股",建仓成本115.94元,20.861,9500,198181.88,115.94,"33未上行首仓；上涨波段62.5%拉回支撑；共振=MA5,MA10,MA60；盘中触及结构位成交",-115.94,,9500,持有9500股,-198297.81,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.28倍；多周期均量扣低走高,MA20/MA60同步上扬；收盘站上MA20；量能高于5/10日基准1.28倍；多周期均量扣低走高,0.625,18.53 / 22.26,2024-11-27 → 2024-12-10
52,2024-12-31,宇通客车,sh.600066,买入,"买入宇通客车(sh.600066) 2800股，成交价23.46，成交金额65,688.00元，现金-65,726.43元，交易后持股12300股",建仓成本38.43元,23.46,2800,65688.0,38.43,浮盈加仓33%；价格突破21日收盘高点；跳空越过触发价成交,-38.43,,12300,持有12300股,-65726.43,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内,,,
53,2025-01-02,宇通客车,sh.600066,卖出,"卖出宇通客车(sh.600066) 2800股，成交价23.02，成交金额64,456.00元，现金+64,386.07元，本次亏损-1,340.36元，收益率-2.04%，剩余9500股","亏损-1,340.36元 (-2.04%)",23.02,2800,64456.0,69.93,收盘条件止损；14:55收盘代理价成交,-1340.36,-2.0393,9500,持有9500股,64386.07,,,,,
54,2025-01-03,宇通客车,sh.600066,买入,"买入宇通客车(sh.600066) 2800股，成交价23.17，成交金额64,876.00元，现金-64,913.95元，交易后持股12300股",建仓成本37.95元,23.17,2800,64876.0,37.95,浮盈加仓33%；上涨波段50%有效跌破后重新突破；跳空越过触发价成交,-37.95,,12300,持有12300股,-64913.95,基本价值线模型入选；MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内,MA20/MA60同步上扬；收盘站上MA20；距离21日收盘高点3%以内,0.5,20.75 / 25.31,2024-06-12 → 2024-10-08
55,2025-01-06,中国人寿,sh.601628,卖出,"卖出中国人寿(sh.601628) 1100股，成交价37.89，成交金额41,679.00元，现金+41,632.32元，本次盈利+1,822.05元，收益率+4.58%，剩余2200股","盈利1,822.05元 (+4.58%)",37.89,1100,41679.0,46.68,14:55收盘代理价成交,1822.05,4.5768,2200,持有2200股,41632.32,,,,,
56,2025-01-06,达梦数据,sh.688692,卖出,"卖出达梦数据(sh.688692) 200股，成交价212.05，成交金额42,410.00元，现金+42,362.59元，本次盈利+1,853.91元，收益率+4.58%，剩余400股","盈利1,853.91元 (+4.58%)",212.05,200,42410.0,47.41,14:55收盘代理价成交,1853.91,4.5766,400,持有400股,42362.59,,,,,
57,2025-02-07,宇通客车,sh.600066,买入,"买入宇通客车(sh.600066) 5400股，成交价24.1，成交金额130,140.00元，现金-130,216.13元，交易后持股17700股",建仓成本76.13元,24.1,5400,130140.0,76.13,浮盈加仓50%；上涨波段75.0%拉回支撑；共振=MA20；开盘已触发成交,-76.13,,17700,持有17700股,-130216.13,基本价值线模型入选；MA20/MA60同步上扬；贴近上扬MA20支撑；量能高于5/10日基准1.31倍；多周期均量扣低走高,MA20/MA60同步上扬；贴近上扬MA20支撑；量能高于5/10日基准1.31倍；多周期均量扣低走高,0.75,19.07 / 26.18,2024-04-25 → 2025-01-24
58,2025-02-10,宇通客车,sh.600066,卖出,"卖出宇通客车(sh.600066) 5400股，成交价24.08，成交金额130,032.00元，现金+129,890.92元，本次亏损-325.22元，收益率-0.25%，剩余12300股",亏损-325.22元 (-0.25%),24.08,5400,130032.0,141.08,收盘条件止损；14:55收盘代理价成交,-325.22,-0.2498,12300,持有12300股,129890.92,,,,,
59,2025-02-12,宇通客车,sh.600066,买入,"买入宇通客车(sh.600066) 5400股，成交价23.94，成交金额129,276.00元，现金-129,351.63元，交易后持股17700股",建仓成本75.63元,23.94,5400,129276.0,75.63,浮盈加仓50%；上涨波段75.0%拉回支撑；共振=MA5；开盘已触发成交,-75.63,,17700,持有17700股,-129351.63,基本价值线模型入选；MA20/MA60同步上扬；贴近上扬MA20支撑；多周期均量扣低走高,MA20/MA60同步上扬；贴近上扬MA20支撑；多周期均量扣低走高,0.75,17.35 / 26.18,2024-08-08 → 2025-01-24
60,2025-02-13,宇通客车,sh.600066,卖出,"卖出宇通客车(sh.600066) 5400股，成交价23.7，成交金额127,980.00元，现金+127,841.14元，本次亏损-1,510.48元，收益率-1.17%，剩余12300股","亏损-1,510.48元 (-1.17%)",23.7,5400,127980.0,138.86,收盘条件止损；14:55收盘代理价成交,-1510.48,-1.1677,12300,持有12300股,127841.14,,,,,
